Index,label,integer_1,integer_2,integer_3,integer_4,integer_5,integer_6,integer_7,integer_8,integer_9,integer_10,integer_11,integer_12,integer_13,categorical_1,categorical_2,categorical_3,categorical_4,categorical_5,categorical_6,categorical_7,categorical_8,categorical_9,categorical_10,categorical_11,categorical_12,categorical_13,categorical_14,categorical_15,categorical_16,categorical_17,categorical_18,categorical_19,categorical_20,categorical_21,categorical_22,categorical_23,categorical_24,categorical_25,categorical_26
11,0,0.0,6,6.0,6.0,421,109.0,1,7,107,0.0,1,,6.0,05db9164,9b5fd12f,,,4cf72387,,111121f4,0b153874,a73ee510,3b08e48b,ac9c2e8f,,6e2d6a15,07d13a8f,796a1a2e,,d4bb7bd8,8aaa5b67,,,,,32c7478e,,,
17,0,0.0,1,,0.0,16597,557.0,3,5,123,0.0,1,,1.0,8cf07265,7cd19acc,77f2f2e5,d16679b9,4cf72387,fbad5c96,8fb24933,0b153874,a73ee510,0095a535,3617b5f5,9f32b866,428332cf,b28479f6,83ebd498,31ca40b6,e5ba7672,d0e5eb07,,,dfcfc3fa,ad3062eb,32c7478e,aee52b6f,,
29,1,3.0,0,4.0,13.0,224,28.0,3,35,27,1.0,1,,13.0,05db9164,90081f33,993f507e,14a74146,25c83c98,13718bbd,dc7659bd,0b153874,a73ee510,03e48276,e51ddf94,18fe7085,3516f6e6,64c94865,98995c3b,8c48eb08,e5ba7672,7181ccc8,,,2ed6b316,,3a171ecb,abf08f1b,,
98,0,,1715,,1.0,7545.0,19.0,15.0,1,87.0,,7.0,0.0,1.0,5a9ed9b0,999aae35,79bc99b4,e5e453f3,25c83c98,7e0ccccf,e13ff1c4,1f89b562,a73ee510,fbbf2c95,15cd287d,424e28fe,86c79eb0,243a4e68,39a6addf,a6a69939,3486227d,63aa00dd,,,424af181,,3a171ecb,869caea3,,
111,0,,14,,0.0,31324.0,,,17,,,,,16.0,05db9164,beea1002,d032c263,c18be181,25c83c98,7e0ccccf,5ce94b48,0b153874,a73ee510,451bd4e4,20c37f5c,dfbb09fb,b029ebab,07d13a8f,d9c759ef,84898b2a,e5ba7672,8b61249a,,,0014c32a,,423fab69,3b183c5c,,
141,1,5.0,59,1.0,1.0,31.0,1.0,5.0,1,10.0,1.0,1.0,0.0,1.0,68fd1e64,b80912da,bd350f15,c0ffce15,0942e0a7,fe6b92e5,f8008800,0b153874,a73ee510,50af9b31,e16bba2e,27e5d73a,b17372a1,07d13a8f,569913cf,fdcf791c,e5ba7672,7119e567,d9aa05dc,b1252a9d,33c8b815,,c7dc6720,2d895b70,5c813496,98619b1c
194,0,,1,2.0,2.0,,,,2,,,,,2.0,05db9164,38a947a1,238ebccd,0fe8b362,25c83c98,7e0ccccf,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,611460df,80467802,b28479f6,e8973e1f,86f33268,2005abd1,a30a2069,,,90ffdd27,,bcdee96c,435d5ea7,,
199,0,,19,32.0,0.0,1994,,0.0,19,26.0,,0.0,,3.0,be589b51,38d50e09,4724f2c8,8510f416,4cf72387,7e0ccccf,38eb9cf4,0b153874,a73ee510,2462946f,7f8ffe57,f6fe1d50,46f42a63,b28479f6,42b3012c,ad774107,1e88c74f,582152eb,21ddcdc9,5840adea,fbaf98df,,32c7478e,e773f0cb,001f3601,1b0ebd59
209,0,0.0,0,0.0,8.0,1448,68.0,1.0,31,61.0,0.0,1.0,,8.0,05db9164,ae46a29d,e60e53ed,f922efad,25c83c98,fbad5c96,d0f8c04a,0b153874,a73ee510,b3d657b8,1be1371e,66a76a26,76b6f478,1adce6ef,c6a089a8,01adbab4,3486227d,e32bf683,,,21c9516a,c9d4222a,32c7478e,b34f3128,,
225,0,0.0,2,10.0,7.0,1565,145.0,101,15,270,0.0,15,0.0,7.0,17f69355,287130e0,7cef88d3,4cbdb91b,25c83c98,,63985851,0b153874,a73ee510,01a07fd7,5874c9c9,a5478d97,740c210d,07d13a8f,10040656,525b107b,8efede7f,891589e7,9437f62f,b1252a9d,e88e0884,,423fab69,6b4edae7,46fbac64,8379ffe4
242,1,0.0,190,,,1324.0,70.0,1,0,0,0.0,1,,,05db9164,9e5ce894,db0d6287,13508380,25c83c98,7e0ccccf,03dda6cf,0b153874,a73ee510,3fb38a44,3289d3e1,c02ca3bf,5a777c73,07d13a8f,8cf98699,597a9302,e5ba7672,a5bb7b8a,55dd3565,b1252a9d,b27ce0a9,,423fab69,45ab94c8,ea9a246c,c84c4aec
254,0,,0,31.0,2.0,41016,,0,9,17,,0,,8.0,05db9164,38a947a1,,,25c83c98,3bf701e7,49042125,062b5529,7cc72ec2,4624c4e8,ba1ff80a,,b95f83fa,b28479f6,0cfbc5df,,1e88c74f,be457d6e,,,,,bcdee96c,,,
269,0,0.0,158,,0.0,29815,,0,3,63,0.0,0,0.0,55.0,05db9164,4c2bc594,d032c263,c18be181,25c83c98,7e0ccccf,f5385f9a,062b5529,a73ee510,852273ac,5adcba72,dfbb09fb,5b6ee19d,8ceecbc8,7ac43a46,84898b2a,3486227d,bc48b783,,,0014c32a,,3a171ecb,3b183c5c,,
271,0,,2,51.0,12.0,6593,104.0,13,10,92,,4,,12.0,05db9164,09e68b86,1833da64,9214a1c7,4cf72387,7e0ccccf,e4cff53d,0b153874,a73ee510,bad0adec,070f2ece,47a2a595,b558cfc7,1adce6ef,2223bcd1,8ead029f,e5ba7672,479030a6,7839a083,5840adea,dcf2ba9c,c9d4222a,32c7478e,41be4766,e8b83407,d8a062c4
285,1,,-1,,,9740.0,109.0,17.0,0,10.0,,5.0,,,05db9164,38a947a1,1c8bc12d,bb729a93,25c83c98,fbad5c96,0433a7db,5b392875,a73ee510,3b08e48b,418037d7,8f4497cb,b0bfed6d,07d13a8f,ff4a3566,b031d057,e5ba7672,9d83e7f2,,,21756f76,,423fab69,2d794282,,
323,1,3.0,-1,,,666.0,4.0,14.0,0,301.0,1.0,6.0,3.0,,05db9164,80e26c9b,5c7d8ff6,902872c9,384874ce,7e0ccccf,92ce5a7d,0b153874,a73ee510,d1a1d478,e0c3cae0,79b87c55,e8df3343,b28479f6,4c1df281,5627d7e0,8efede7f,f54016b9,21ddcdc9,b1252a9d,4063500f,,3a171ecb,54baf4d1,e8b83407,98f9ccac
